,match_id,game_id,team_id,rating,acs,kill,death,assist,kast,adr,hs,fk,fd
0,542195,233397,624,1.241,226.8,8.9,6.6,4.2,80.9,153.2,25.4,1.2,1.0
1,542195,233397,13581,0.752,172.4,6.6,8.9,1.9,57.3,111.8,31.0,1.0,1.2
2,542195,233398,624,1.119,225.8,7.4,6.0,2.7,70.8,138.5,28.5,1.0,0.8
3,542195,233398,13581,0.8860000000000001,194.4,6.0,7.4,3.1,67.6,129.8,34.4,0.8,1.0
4,542196,233400,2,1.367,219.6,7.1,4.4,4.3,83.9,126.8,28.3,1.1,0.8
5,542196,233400,14419,0.607,133.3,4.4,7.1,1.1,55.55555555555556,83.8,27.1,0.8,1.1
6,542196,233401,2,0.7889999999999999,172.8,4.8,7.3,2.5,67.5,112.4,22.7,0.6,1.1
7,542196,233401,14419,1.228,231.8,7.3,4.8,3.4,81.1,148.7,36.4,1.1,0.6
8,542196,233402,2,0.8400000000000001,181.8,6.8,8.2,2.5,65.9,124.4,30.5,1.1,1.1
9,542196,233402,14419,1.0619999999999998,212.1,8.2,6.8,3.2,79.7,137.3,33.6,1.1,1.1
10,542197,233403,624,0.9,187.8,7.8,8.9,4.0,72.5,120.5,31.0,1.4,1.0
11,542197,233403,14419,1.153,214.0,8.9,7.8,5.0,77.6,138.1,32.0,1.0,1.4
12,542197,233404,624,1.0859999999999999,200.5,8.2,6.9,3.1,76.5,131.3,27.7,0.8,1.5
13,542197,233404,14419,0.898,176.4,6.9,8.2,2.3,67.2,116.8,31.3,1.5,0.8
14,542197,233405,624,1.233,225.4,7.9,5.1,2.5,82.5,141.3,35.2,1.0,0.9
15,542197,233405,14419,0.754,167.0,5.1,7.9,1.9,57.2,116.2,36.2,0.9,1.0
16,542198,233406,2,1.034,192.2,7.7,7.0,3.9,79.5,125.0,30.5,1.3,1.0
17,542198,233406,13581,0.905,166.2,6.6,8.1,3.7,72.0,111.6,38.0,1.0,1.3
18,542198,233407,2,0.9410000000000001,181.3,7.3,8.6,3.9,71.6,121.0,28.8,1.0,1.4
19,542198,233407,13581,1.058,202.8,8.6,7.3,4.3,80.2,127.6,37.9,1.4,1.0
20,542198,233408,2,0.73,153.9,5.6,8.4,2.2,58.0,105.4,24.6,0.6,1.5
21,542198,233408,13581,1.261,225.3,8.4,5.6,3.2,82.0,147.7,33.7,1.5,0.6
22,542199,233409,13581,1.027,211.6,9.8,8.6,3.5,74.6,137.5,31.8,1.1,1.5
23,542199,233409,14419,0.961,193.3,8.6,9.8,3.5,64.6,128.8,33.2,1.5,1.1
24,542199,233410,13581,0.8800000000000001,178.4,6.9,8.3,3.1,68.8,114.8,34.7,1.2,1.1
25,542199,233410,14419,1.147,209.3,8.3,6.9,4.7,76.1,132.6,34.3,1.1,1.2
26,542200,233412,7386,1.459,231.4,6.3,3.2,1.9,90.1,160.6,41.0,1.0,0.5
